"","event_id","lon","lat","year","day","month","hr","min","gbm","svmRadial","mxnetAdam","stack_glm","stack_rf","avg_ens","indicator_text","magnitude"
"1",1,30.47,-104.35,2023,25,5,21,21,0.0430842062747886,0.0109448258862463,0.00537307048216462,0.0493062841614496,0.016,0.0198007008810665,0,"73"
"2",2,40.11,-113.31,2023,25,5,22,40,0.0428382602175024,0.169561385857488,0.169526770710945,0.0582893496201324,0,0.127308805595312,0,"58"
"3",3,42.32,-114.59,2023,26,5,0,39,0.395461391005215,0.3188007531426,0.0484900996088982,0.296933285934524,0.476,0.254250747918905,0,"60"
"4",4,35.18,-103.6,2023,26,5,2,42,0.0651418478463608,0.041978148272051,0.014855251647532,0.0564492695151871,0.01,0.0406584159219813,0,"61"
"5",5,35.08,-103.61,2023,26,5,2,56,0.0334368911463217,0.0500698046815226,0.0165150426328182,0.0485921729418884,0.026,0.0333405794868875,0,"82"
"6",6,35.18,-103.6,2023,26,5,3,0,0.0620059186287011,0.0850112645804124,0.0156400576233864,0.0574456443576841,0.04,0.0542190802775,0,"75"
"7",7,35.1,-103.61,2023,26,5,3,17,0.0561856170113382,0.0852617049366032,0.0177523475140333,0.0558703042152108,0.104,0.0530665564873249,0,"UNK"
"8",8,34.75,-103.21,2023,26,5,7,1,0.26255592901887,0.116068644579913,0.0173296350985765,0.150937792159703,0.066,0.131984736232453,0,"59"
"9",9,34.4,-103.09,2023,26,5,9,15,0.440398074918752,0.266546371194392,0.0151607589796185,0.336235236872293,0.204,0.240701735030921,0,"65"
